Day,entity_id,Name,observed_primary_sales,observed_intermediary_sales,Observed Transactions,Observed Customers,,,,,,,,,,,,,,,,,,,
5/12/23,SQSP,Squarespace Inc,1602,81246,1410,1321,,,,,,,,,,,,,,,,,,,
5/13/23,SQSP,Squarespace Inc,1391,76383,1375,1355,,,,,,,,,,,,,,,,,,,
5/14/23,SQSP,Squarespace Inc,1401,69843,1220,1165,,,,,,,,,,,,,,,,,,,
5/15/23,SQSP,Squarespace Inc,718,101291,1678,1564,,,,,,,,,,,,,,,,,,,
5/16/23,SQSP,Squarespace Inc,1018,75211,1468,1328,,,,,,,,,,,,,,,,,,,
5/17/23,SQSP,Squarespace Inc,2228,66511,1572,1442,,,,,,,,,,,,,,,,,,,
5/18/23,SQSP,Squarespace Inc,1601,83922,1569,1425,,,,,,,,,,,,,,,,,,,
5/19/23,SQSP,Squarespace Inc,7486,104220,1766,1706,,,,,,,,,,,,,,,,,,,
5/20/23,SQSP,Squarespace Inc,1894,97733,1476,1307,,,,,,,,,,,,,,,,,,,
5/21/23,SQSP,Squarespace Inc,1630,65167,1286,1200,,,,,,,,,,,,,,,,,,,
5/22/23,SQSP,Squarespace Inc,4463,76261,1690,1450,,,,,,,,,,,,,,,,,,,
5/23/23,SQSP,Squarespace Inc,835,86507,1435,1382,,,,,,,,,,,,,,,,,,,
5/24/23,SQSP,Squarespace Inc,3330,82519,1578,1375,,,,,,,,,,,,,,,,,,,
5/25/23,SQSP,Squarespace Inc,2228,71454,1543,1352,,,,,,,,,,,,,,,,,,,
5/26/23,SQSP,Squarespace Inc,2230,67938,1428,1316,,,,,,,,,,,,,,,,,,,
5/27/23,SQSP,Squarespace Inc,2908,75094,1594,1566,,,,,,,,,,,,,,,,,,,
5/28/23,SQSP,Squarespace Inc,1582,74412,1986,1915,,,,,,,,,,,,,,,,,,,
5/29/23,SQSP,Squarespace Inc,1434,68420,773,660,,,,,,,,,,,,,,,,,,,
5/30/23,SQSP,Squarespace Inc,2572,43796,683,635,,,,,,,,,,,,,,,,,,,
5/31/23,SQSP,Squarespace Inc,1088,72720,1054,925,,,,,,,,,,,,,,,,,,,
6/1/23,SQSP,Squarespace Inc,3380,108415,2666,2467,,,,,,,,,,,,,,,,,,,
6/2/23,SQSP,Squarespace Inc,2445,70988,1644,1536,,,,,,,,,,,,,,,,,,,
6/3/23,SQSP,Squarespace Inc,2167,58750,1257,1230,,,,,,,,,,,,,,,,,,,
6/4/23,SQSP,Squarespace Inc,1673,66883,1469,1382,,,,,,,,,,,,,,,,,,,
6/5/23,SQSP,Squarespace Inc,1774,66300,1344,1215,,,,,,,,,,,,,,,,,,,
6/6/23,SQSP,Squarespace Inc,1615,78299,1522,1428,,,,,,,,,,,,,,,,,,,
6/7/23,SQSP,Squarespace Inc,1507,78864,1932,1767,,,,,,,,,,,,,,,,,,,
6/8/23,SQSP,Squarespace Inc,1752,88002,1684,1514,,,,,,,,,,,,,,,,,,,
6/9/23,SQSP,Squarespace Inc,1446,104946,1871,1578,,,,,,,,,,,,,,,,,,,
6/10/23,SQSP,Squarespace Inc,1958,72810,1690,1355,,,,,,,,,,,,,,,,,,,
6/11/23,SQSP,Squarespace Inc,1443,68462,1432,1302,,,,,,,,,,,,,,,,,,,
6/12/23,SQSP,Squarespace Inc,2088,62412,1487,1378,,,,,,,,,,,,,,,,,,,
6/13/23,SQSP,Squarespace Inc,2161,67687,1476,1396,,,,,,,,,,,,,,,,,,,
6/14/23,SQSP,Squarespace Inc,1742,103969,1375,1311,,,,,,,,,,,,,,,,,,,
6/15/23,SQSP,Squarespace Inc,1252,85546,1528,1455,,,,,,,,,,,,,,,,,,,
6/16/23,SQSP,Squarespace Inc,1624,67347,1411,1312,,,,,,,,,,,,,,,,,,,
6/17/23,SQSP,Squarespace Inc,3700,64754,1390,1313,,,,,,,,,,,,,,,,,,,
6/18/23,SQSP,Squarespace Inc,1507,68162,1281,1229,,,,,,,,,,,,,,,,,,,
6/19/23,SQSP,Squarespace Inc,2332,104683,1608,1481,,,,,,,,,,,,,,,,,,,
6/20/23,SQSP,Squarespace Inc,2617,77327,1326,1210,,,,,,,,,,,,,,,,,,,
6/21/23,SQSP,Squarespace Inc,1280,76788,1372,1239,,,,,,,,,,,,,,,,,,,
6/22/23,SQSP,Squarespace Inc,2687,80954,1440,1378,,,,,,,,,,,,,,,,,,,
6/23/23,SQSP,Squarespace Inc,2336,69552,1517,1319,,,,,,,,,,,,,,,,,,,
6/24/23,SQSP,Squarespace Inc,2842,65041,1398,1308,,,,,,,,,,,,,,,,,,,
6/25/23,SQSP,Squarespace Inc,2363,59630,1116,1070,,,,,,,,,,,,,,,,,,,
6/26/23,SQSP,Squarespace Inc,1875,73196,1439,1309,,,,,,,,,,,,,,,,,,,
6/27/23,SQSP,Squarespace Inc,1360,73580,1538,1447,,,,,,,,,,,,,,,,,,,
6/28/23,SQSP,Squarespace Inc,7918,69608,1755,1617,,,,,,,,,,,,,,,,,,,
6/29/23,SQSP,Squarespace Inc,1791,96186,1396,1309,,,,,,,,,,,,,,,,,,,
6/30/23,SQSP,Squarespace Inc,2269,69839,1161,1092,,,,,,,,,,,,,,,,,,,
7/1/23,SQSP,Squarespace Inc,1949,103063,2471,2332,,,,,,,,,,,,,,,,,,,
7/2/23,SQSP,Squarespace Inc,3197,79740,1447,1398,,,,,,,,,,,,,,,,,,,
7/3/23,SQSP,Squarespace Inc,2049,69628,1379,1265,,,,,,,,,,,,,,,,,,,
7/4/23,SQSP,Squarespace Inc,3603,67476,1468,1410,,,,,,,,,,,,,,,,,,,
7/5/23,SQSP,Squarespace Inc,1567,86273,1494,1328,,,,,,,,,,,,,,,,,,,
7/6/23,SQSP,Squarespace Inc,1791,74592,1516,1402,,,,,,,,,,,,,,,,,,,
7/7/23,SQSP,Squarespace Inc,1605,84811,1794,1716,,,,,,,,,,,,,,,,,,,
7/8/23,SQSP,Squarespace Inc,5276,93150,1540,1422,,,,,,,,,,,,,,,,,,,
7/9/23,SQSP,Squarespace Inc,1729,66005,1465,1375,,,,,,,,,,,,,,,,,,,
7/10/23,SQSP,Squarespace Inc,1736,75234,1667,1510,,,,,,,,,,,,,,,,,,,
7/11/23,SQSP,Squarespace Inc,2048,88390,1616,1526,,,,,,,,,,,,,,,,,,,
7/12/23,SQSP,Squarespace Inc,2510,65609,1491,1315,,,,,,,,,,,,,,,,,,,
7/13/23,SQSP,Squarespace Inc,2129,68773,1447,1370,,,,,,,,,,,,,,,,,,,
7/14/23,SQSP,Squarespace Inc,1080,70231,1543,1402,,,,,,,,,,,,,,,,,,,
7/15/23,SQSP,Squarespace Inc,1268,70471,1442,1364,,,,,,,,,,,,,,,,,,,
7/16/23,SQSP,Squarespace Inc,1351,69258,1323,1267,,,,,,,,,,,,,,,,,,,
7/17/23,SQSP,Squarespace Inc,1589,75691,1519,1386,,,,,,,,,,,,,,,,,,,
7/18/23,SQSP,Squarespace Inc,1997,68676,1556,1401,,,,,,,,,,,,,,,,,,,
7/19/23,SQSP,Squarespace Inc,1869,77230,1662,1558,,,,,,,,,,,,,,,,,,,
7/20/23,SQSP,Squarespace Inc,3334,73192,1444,1335,,,,,,,,,,,,,,,,,,,
7/21/23,SQSP,Squarespace Inc,2495,89334,1447,1307,,,,,,,,,,,,,,,,,,,
7/22/23,SQSP,Squarespace Inc,1910,65679,1373,1337,,,,,,,,,,,,,,,,,,,
7/23/23,SQSP,Squarespace Inc,701,59730,1319,1248,,,,,,,,,,,,,,,,,,,
7/24/23,SQSP,Squarespace Inc,2003,63584,1408,1311,,,,,,,,,,,,,,,,,,,
7/25/23,SQSP,Squarespace Inc,2371,87072,1330,1247,,,,,,,,,,,,,,,,,,,
7/26/23,SQSP,Squarespace Inc,1472,86518,1598,1496,,,,,,,,,,,,,,,,,,,
7/27/23,SQSP,Squarespace Inc,1343,87843,1675,1622,,,,,,,,,,,,,,,,,,,
7/28/23,SQSP,Squarespace Inc,1266,89869,2092,2015,,,,,,,,,,,,,,,,,,,
7/29/23,SQSP,Squarespace Inc,2178,47003,693,651,,,,,,,,,,,,,,,,,,,
7/30/23,SQSP,Squarespace Inc,1730,56880,881,822,,,,,,,,,,,,,,,,,,,
7/31/23,SQSP,Squarespace Inc,370,58151,1063,878,,,,,,,,,,,,,,,,,,,
8/1/23,SQSP,Squarespace Inc,7872,121222,2294,2211,,,,,,,,,,,,,,,,,,,
8/2/23,SQSP,Squarespace Inc,1997,75338,1534,1488,,,,,,,,,,,,,,,,,,,
8/3/23,SQSP,Squarespace Inc,2061,71000,1384,1337,,,,,,,,,,,,,,,,,,,
8/4/23,SQSP,Squarespace Inc,1639,81140,1744,1657,,,,,,,,,,,,,,,,,,,
8/5/23,SQSP,Squarespace Inc,2901,76351,1368,1228,,,,,,,,,,,,,,,,,,,
8/6/23,SQSP,Squarespace Inc,1385,84952,1463,1429,,,,,,,,,,,,,,,,,,,
8/7/23,SQSP,Squarespace Inc,1572,82747,1794,1664,,,,,,,,,,,,,,,,,,,
8/8/23,SQSP,Squarespace Inc,1966,73376,1436,1344,,,,,,,,,,,,,,,,,,,
8/9/23,SQSP,Squarespace Inc,1971,98561,1588,1518,,,,,,,,,,,,,,,,,,,
8/10/23,SQSP,Squarespace Inc,1181,78821,1502,1359,,,,,,,,,,,,,,,,,,,
8/11/23,SQSP,Squarespace Inc,2284,85623,1505,1429,,,,,,,,,,,,,,,,,,,
8/12/23,SQSP,Squarespace Inc,2233,66424,1351,1318,,,,,,,,,,,,,,,,,,,
8/13/23,SQSP,Squarespace Inc,1881,67276,1436,1330,,,,,,,,,,,,,,,,,,,
8/14/23,SQSP,Squarespace Inc,1305,84049,1545,1347,,,,,,,,,,,,,,,,,,,
8/15/23,SQSP,Squarespace Inc,1627,92242,1609,1535,,,,,,,,,,,,,,,,,,,
8/16/23,SQSP,Squarespace Inc,894,71961,1630,1528,,,,,,,,,,,,,,,,,,,
8/17/23,SQSP,Squarespace Inc,3162,69769,1479,1425,,,,,,,,,,,,,,,,,,,
8/18/23,SQSP,Squarespace Inc,1588,76205,1538,1404,,,,,,,,,,,,,,,,,,,
8/19/23,SQSP,Squarespace Inc,1603,84420,1564,1487,,,,,,,,,,,,,,,,,,,
8/20/23,SQSP,Squarespace Inc,2768,55906,1360,1239,,,,,,,,,,,,,,,,,,,
8/21/23,SQSP,Squarespace Inc,2568,82770,1388,1261,,,,,,,,,,,,,,,,,,,
8/22/23,SQSP,Squarespace Inc,1777,75628,1423,1377,,,,,,,,,,,,,,,,,,,
8/23/23,SQSP,Squarespace Inc,673,84115,1436,1364,,,,,,,,,,,,,,,,,,,
8/24/23,SQSP,Squarespace Inc,2205,70091,1400,1303,,,,,,,,,,,,,,,,,,,
8/25/23,SQSP,Squarespace Inc,2487,80702,1415,1304,,,,,,,,,,,,,,,,,,,
8/26/23,SQSP,Squarespace Inc,7473,75135,1535,1418,,,,,,,,,,,,,,,,,,,
8/27/23,SQSP,Squarespace Inc,1347,78443,1703,1644,,,,,,,,,,,,,,,,,,,
8/28/23,SQSP,Squarespace Inc,1008,78219,1987,1862,,,,,,,,,,,,,,,,,,,
8/29/23,SQSP,Squarespace Inc,2548,70878,1017,819,,,,,,,,,,,,,,,,,,,
8/30/23,SQSP,Squarespace Inc,1923,65273,907,840,,,,,,,,,,,,,,,,,,,
8/31/23,SQSP,Squarespace Inc,705,95096,1065,959,,,,,,,,,,,,,,,,,,,
9/1/23,SQSP,Squarespace Inc,2186,106990,2389,2248,,,,,,,,,,,,,,,,,,,
9/2/23,SQSP,Squarespace Inc,1676,81238,1387,1339,,,,,,,,,,,,,,,,,,,
9/3/23,SQSP,Squarespace Inc,1186,56339,1224,1175,,,,,,,,,,,,,,,,,,,
9/4/23,SQSP,Squarespace Inc,2885,72611,1472,1428,,,,,,,,,,,,,,,,,,,
9/5/23,SQSP,Squarespace Inc,3720,84421,1446,1352,,,,,,,,,,,,,,,,,,,
9/6/23,SQSP,Squarespace Inc,1618,115010,1684,1511,,,,,,,,,,,,,,,,,,,
9/7/23,SQSP,Squarespace Inc,1207,82153,1740,1620,,,,,,,,,,,,,,,,,,,
9/8/23,SQSP,Squarespace Inc,1957,105676,1755,1638,,,,,,,,,,,,,,,,,,,
9/9/23,SQSP,Squarespace Inc,3418,72226,1506,1446,,,,,,,,,,,,,,,,,,,
9/10/23,SQSP,Squarespace Inc,2363,63813,1314,1207,,,,,,,,,,,,,,,,,,,
9/11/23,SQSP,Squarespace Inc,1268,82247,1577,1458,,,,,,,,,,,,,,,,,,,
9/12/23,SQSP,Squarespace Inc,6292,123574,1851,1689,,,,,,,,,,,,,,,,,,,
9/13/23,SQSP,Squarespace Inc,1931,70089,1587,1439,,,,,,,,,,,,,,,,,,,
9/14/23,SQSP,Squarespace Inc,760,105000,1445,1364,,,,,,,,,,,,,,,,,,,
9/15/23,SQSP,Squarespace Inc,2473,97692,1763,1675,,,,,,,,,,,,,,,,,,,
9/16/23,SQSP,Squarespace Inc,765,77931,1548,1489,,,,,,,,,,,,,,,,,,,
9/17/23,SQSP,Squarespace Inc,2532,62672,1437,1375,,,,,,,,,,,,,,,,,,,
9/18/23,SQSP,Squarespace Inc,1288,77353,1566,1448,,,,,,,,,,,,,,,,,,,
9/19/23,SQSP,Squarespace Inc,2122,78042,1645,1546,,,,,,,,,,,,,,,,,,,
9/20/23,SQSP,Squarespace Inc,1258,78400,1456,1313,,,,,,,,,,,,,,,,,,,
9/21/23,SQSP,Squarespace Inc,1254,74230,1436,1312,,,,,,,,,,,,,,,,,,,
9/22/23,SQSP,Squarespace Inc,1709,83588,1627,1446,,,,,,,,,,,,,,,,,,,
9/23/23,SQSP,Squarespace Inc,909,65408,1337,1232,,,,,,,,,,,,,,,,,,,
9/24/23,SQSP,Squarespace Inc,2023,88973,1512,1421,,,,,,,,,,,,,,,,,,,
9/25/23,SQSP,Squarespace Inc,2588,67140,1467,1372,,,,,,,,,,,,,,,,,,,
9/26/23,SQSP,Squarespace Inc,2153,58780,1421,1321,,,,,,,,,,,,,,,,,,,
9/27/23,SQSP,Squarespace Inc,1787,92150,1828,1747,,,,,,,,,,,,,,,,,,,
9/28/23,SQSP,Squarespace Inc,1445,100421,2109,2015,,,,,,,,,,,,,,,,,,,
9/29/23,SQSP,Squarespace Inc,1872,58777,950,886,,,,,,,,,,,,,,,,,,,
9/30/23,SQSP,Squarespace Inc,5050,70928,1426,1292,,,,,,,,,,,,,,,,,,,
10/1/23,SQSP,Squarespace Inc,1699,101939,2250,2127,,,,,,,,,,,,,,,,,,,
10/2/23,SQSP,Squarespace Inc,2205,68157,1490,1364,,,,,,,,,,,,,,,,,,,
10/3/23,SQSP,Squarespace Inc,1469,75733,1416,1318,,,,,,,,,,,,,,,,,,,
10/4/23,SQSP,Squarespace Inc,2554,86578,1859,1650,,,,,,,,,,,,,,,,,,,
10/5/23,SQSP,Squarespace Inc,1358,86676,1545,1447,,,,,,,,,,,,,,,,,,,
10/6/23,SQSP,Squarespace Inc,2044,92280,1572,1491,,,,,,,,,,,,,,,,,,,
10/7/23,SQSP,Squarespace Inc,2612,101370,1602,1533,,,,,,,,,,,,,,,,,,,
10/8/23,SQSP,Squarespace Inc,1501,69487,1495,1453,,,,,,,,,,,,,,,,,,,
10/9/23,SQSP,Squarespace Inc,1691,41526,707,624,,,,,,,,,,,,,,,,,,,
10/10/23,SQSP,Squarespace Inc,1990,118562,2229,2044,,,,,,,,,,,,,,,,,,,
10/11/23,SQSP,Squarespace Inc,1603,95247,1560,1453,,,,,,,,,,,,,,,,,,,
10/12/23,SQSP,Squarespace Inc,1941,90799,1785,1677,,,,,,,,,,,,,,,,,,,
10/13/23,SQSP,Squarespace Inc,2044,79582,1352,1310,,,,,,,,,,,,,,,,,,,
10/14/23,SQSP,Squarespace Inc,1414,72442,1383,1309,,,,,,,,,,,,,,,,,,,
10/15/23,SQSP,Squarespace Inc,1226,94484,1710,1596,,,,,,,,,,,,,,,,,,,
10/16/23,SQSP,Squarespace Inc,9349,63442,1578,1377,,,,,,,,,,,,,,,,,,,
10/17/23,SQSP,Squarespace Inc,2123,67353,1508,1388,,,,,,,,,,,,,,,,,,,
10/18/23,SQSP,Squarespace Inc,1522,84833,1702,1612,,,,,,,,,,,,,,,,,,,
10/19/23,SQSP,Squarespace Inc,6379,99016,1887,1723,,,,,,,,,,,,,,,,,,,
10/20/23,SQSP,Squarespace Inc,939,99475,1534,1402,,,,,,,,,,,,,,,,,,,
10/21/23,SQSP,Squarespace Inc,1089,65104,1367,1231,,,,,,,,,,,,,,,,,,,
10/22/23,SQSP,Squarespace Inc,7412,55584,1356,1302,,,,,,,,,,,,,,,,,,,
10/23/23,SQSP,Squarespace Inc,671,53499,1279,1167,,,,,,,,,,,,,,,,,,,
10/24/23,SQSP,Squarespace Inc,1819,72909,1520,1349,,,,,,,,,,,,,,,,,,,
10/25/23,SQSP,Squarespace Inc,3055,70207,1375,1245,,,,,,,,,,,,,,,,,,,
10/26/23,SQSP,Squarespace Inc,1530,80421,1510,1403,,,,,,,,,,,,,,,,,,,
10/27/23,SQSP,Squarespace Inc,1383,87766,1901,1785,,,,,,,,,,,,,,,,,,,
10/28/23,SQSP,Squarespace Inc,1656,78607,1925,1858,,,,,,,,,,,,,,,,,,,
10/29/23,SQSP,Squarespace Inc,8149,52729,882,789,,,,,,,,,,,,,,,,,,,
10/30/23,SQSP,Squarespace Inc,2013,68835,1154,1013,,,,,,,,,,,,,,,,,,,
10/31/23,SQSP,Squarespace Inc,1867,73577,916,800,,,,,,,,,,,,,,,,,,,
11/1/23,SQSP,Squarespace Inc,1956,118070,2443,2295,,,,,,,,,,,,,,,,,,,
11/2/23,SQSP,Squarespace Inc,2629,103825,1788,1408,,,,,,,,,,,,,,,,,,,
11/3/23,SQSP,Squarespace Inc,1402,90554,1593,1449,,,,,,,,,,,,,,,,,,,
11/4/23,SQSP,Squarespace Inc,1352,70246,1530,1509,,,,,,,,,,,,,,,,,,,
11/5/23,SQSP,Squarespace Inc,1156,64107,1319,1216,,,,,,,,,,,,,,,,,,,
11/6/23,SQSP,Squarespace Inc,1506,68397,1526,1387,,,,,,,,,,,,,,,,,,,
11/7/23,SQSP,Squarespace Inc,1022,94231,1716,1620,,,,,,,,,,,,,,,,,,,
11/8/23,SQSP,Squarespace Inc,1790,76890,1532,1414,,,,,,,,,,,,,,,,,,,
11/9/23,SQSP,Squarespace Inc,1785,109622,1656,1546,,,,,,,,,,,,,,,,,,,
11/10/23,SQSP,Squarespace Inc,1428,95231,1736,1560,,,,,,,,,,,,,,,,,,,
11/11/23,SQSP,Squarespace Inc,1489,83572,1377,1312,,,,,,,,,,,,,,,,,,,
11/12/23,SQSP,Squarespace Inc,2890,83138,1473,1438,,,,,,,,,,,,,,,,,,,
11/13/23,SQSP,Squarespace Inc,1518,84418,1862,1582,,,,,,,,,,,,,,,,,,,
11/14/23,SQSP,Squarespace Inc,852,115733,1690,1586,,,,,,,,,,,,,,,,,,,
11/15/23,SQSP,Squarespace Inc,1832,87519,1721,1608,,,,,,,,,,,,,,,,,,,
11/16/23,SQSP,Squarespace Inc,601,92855,1595,1521,,,,,,,,,,,,,,,,,,,
11/17/23,SQSP,Squarespace Inc,1878,89329,1767,1519,,,,,,,,,,,,,,,,,,,
11/18/23,SQSP,Squarespace Inc,1616,77341,1726,1591,,,,,,,,,,,,,,,,,,,
11/19/23,SQSP,Squarespace Inc,4274,71614,1526,1457,,,,,,,,,,,,,,,,,,,
11/20/23,SQSP,Squarespace Inc,925,81443,1630,1390,,,,,,,,,,,,,,,,,,,
11/21/23,SQSP,Squarespace Inc,1386,79803,1526,1393,,,,,,,,,,,,,,,,,,,
11/22/23,SQSP,Squarespace Inc,1904,84060,1487,1384,,,,,,,,,,,,,,,,,,,
11/23/23,SQSP,Squarespace Inc,1166,42117,1053,1031,,,,,,,,,,,,,,,,,,,
11/24/23,SQSP,Squarespace Inc,1836,63889,1447,1336,,,,,,,,,,,,,,,,,,,
11/25/23,SQSP,Squarespace Inc,1844,58210,1258,1203,,,,,,,,,,,,,,,,,,,
11/26/23,SQSP,Squarespace Inc,1543,59539,1405,1191,,,,,,,,,,,,,,,,,,,
11/27/23,SQSP,Squarespace Inc,1616,88905,2148,1815,,,,,,,,,,,,,,,,,,,
11/28/23,SQSP,Squarespace Inc,1217,100938,2251,1909,,,,,,,,,,,,,,,,,,,
11/29/23,SQSP,Squarespace Inc,4365,57770,1005,886,,,,,,,,,,,,,,,,,,,
11/30/23,SQSP,Squarespace Inc,2497,55338,1445,1286,,,,,,,,,,,,,,,,,,,
12/1/23,SQSP,Squarespace Inc,1474,108154,2630,2261,,,,,,,,,,,,,,,,,,,
12/2/23,SQSP,Squarespace Inc,2836,99875,1327,1260,,,,,,,,,,,,,,,,,,,
12/3/23,SQSP,Squarespace Inc,1961,77000,1464,1361,,,,,,,,,,,,,,,,,,,
12/4/23,SQSP,Squarespace Inc,1507,88663,1860,1642,,,,,,,,,,,,,,,,,,,
12/5/23,SQSP,Squarespace Inc,1387,65078,1385,1208,,,,,,,,,,,,,,,,,,,
12/6/23,SQSP,Squarespace Inc,2334,101696,1713,1520,,,,,,,,,,,,,,,,,,,
12/7/23,SQSP,Squarespace Inc,1356,93974,1806,1658,,,,,,,,,,,,,,,,,,,
12/8/23,SQSP,Squarespace Inc,1698,82585,1419,1336,,,,,,,,,,,,,,,,,,,
12/9/23,SQSP,Squarespace Inc,1568,64722,1596,1453,,,,,,,,,,,,,,,,,,,
12/10/23,SQSP,Squarespace Inc,1379,53756,1344,1283,,,,,,,,,,,,,,,,,,,
12/11/23,SQSP,Squarespace Inc,3625,59463,1511,1300,,,,,,,,,,,,,,,,,,,
12/12/23,SQSP,Squarespace Inc,1719,105831,1654,1540,,,,,,,,,,,,,,,,,,,
12/13/23,SQSP,Squarespace Inc,1801,84457,1878,1586,,,,,,,,,,,,,,,,,,,
12/14/23,SQSP,Squarespace Inc,4336,69150,1536,1378,,,,,,,,,,,,,,,,,,,
12/15/23,SQSP,Squarespace Inc,992,87081,1756,1621,,,,,,,,,,,,,,,,,,,
12/16/23,SQSP,Squarespace Inc,986,71419,1561,1447,,,,,,,,,,,,,,,,,,,
12/17/23,SQSP,Squarespace Inc,2729,67370,1351,1308,,,,,,,,,,,,,,,,,,,
12/18/23,SQSP,Squarespace Inc,935,90187,1900,1652,,,,,,,,,,,,,,,,,,,
12/19/23,SQSP,Squarespace Inc,1805,93136,1769,1643,,,,,,,,,,,,,,,,,,,
12/20/23,SQSP,Squarespace Inc,1947,73713,1663,1463,,,,,,,,,,,,,,,,,,,
12/21/23,SQSP,Squarespace Inc,4558,97932,1722,1538,,,,,,,,,,,,,,,,,,,
12/22/23,SQSP,Squarespace Inc,1459,80041,1416,1315,,,,,,,,,,,,,,,,,,,
12/23/23,SQSP,Squarespace Inc,1462,59344,1237,1075,,,,,,,,,,,,,,,,,,,
12/24/23,SQSP,Squarespace Inc,1111,51325,1110,1073,,,,,,,,,,,,,,,,,,,
12/25/23,SQSP,Squarespace Inc,1664,60406,1138,1103,,,,,,,,,,,,,,,,,,,
12/26/23,SQSP,Squarespace Inc,1316,78663,1662,1474,,,,,,,,,,,,,,,,,,,
12/27/23,SQSP,Squarespace Inc,1479,91929,2062,1868,,,,,,,,,,,,,,,,,,,
12/28/23,SQSP,Squarespace Inc,1553,105976,2129,2002,,,,,,,,,,,,,,,,,,,
12/29/23,SQSP,Squarespace Inc,2039,70935,1090,988,,,,,,,,,,,,,,,,,,,
12/30/23,SQSP,Squarespace Inc,1280,81676,1071,1003,,,,,,,,,,,,,,,,,,,
12/31/23,SQSP,Squarespace Inc,568,79666,916,829,,,,,,,,,,,,,,,,,,,
1/1/24,SQSP,Squarespace Inc,1232,87788,2189,2045,,,,,,,,,,,,,,,,,,,
1/2/24,SQSP,Squarespace Inc,2294,91530,1827,1437,,,,,,,,,,,,,,,,,,,
1/3/24,SQSP,Squarespace Inc,2687,118003,1734,1595,,,,,,,,,,,,,,,,,,,
1/4/24,SQSP,Squarespace Inc,932,90582,1807,1649,,,,,,,,,,,,,,,,,,,
1/5/24,SQSP,Squarespace Inc,1076,95085,1639,1511,,,,,,,,,,,,,,,,,,,
1/6/24,SQSP,Squarespace Inc,1537,89444,1527,1405,,,,,,,,,,,,,,,,,,,
1/7/24,SQSP,Squarespace Inc,1478,77397,1686,1601,,,,,,,,,,,,,,,,,,,
1/8/24,SQSP,Squarespace Inc,1558,76909,1553,1387,,,,,,,,,,,,,,,,,,,
1/9/24,SQSP,Squarespace Inc,1757,81122,1775,1574,,,,,,,,,,,,,,,,,,,
1/10/24,SQSP,Squarespace Inc,2416,73174,1463,1333,,,,,,,,,,,,,,,,,,,
1/11/24,SQSP,Squarespace Inc,653,72585,1608,1448,,,,,,,,,,,,,,,,,,,
1/12/24,SQSP,Squarespace Inc,1953,100432,1864,1708,,,,,,,,,,,,,,,,,,,
1/13/24,SQSP,Squarespace Inc,1267,55871,1387,1323,,,,,,,,,,,,,,,,,,,
1/14/24,SQSP,Squarespace Inc,753,82587,1500,1430,,,,,,,,,,,,,,,,,,,
1/15/24,SQSP,Squarespace Inc,1170,93730,1807,1649,,,,,,,,,,,,,,,,,,,
1/16/24,SQSP,Squarespace Inc,638,104726,1802,1605,,,,,,,,,,,,,,,,,,,
1/17/24,SQSP,Squarespace Inc,2672,93032,1662,1485,,,,,,,,,,,,,,,,,,,
1/18/24,SQSP,Squarespace Inc,1549,102549,1751,1611,,,,,,,,,,,,,,,,,,,
1/19/24,SQSP,Squarespace Inc,1943,109733,1856,1682,,,,,,,,,,,,,,,,,,,
1/20/24,SQSP,Squarespace Inc,1227,93596,1536,1471,,,,,,,,,,,,,,,,,,,
1/21/24,SQSP,Squarespace Inc,1065,74715,1462,1299,,,,,,,,,,,,,,,,,,,
1/22/24,SQSP,Squarespace Inc,1893,71908,1608,1419,,,,,,,,,,,,,,,,,,,
1/23/24,SQSP,Squarespace Inc,720,76270,1389,1334,,,,,,,,,,,,,,,,,,,
1/24/24,SQSP,Squarespace Inc,1311,109724,1757,1522,,,,,,,,,,,,,,,,,,,
1/25/24,SQSP,Squarespace Inc,1524,72279,1570,1313,,,,,,,,,,,,,,,,,,,
1/26/24,SQSP,Squarespace Inc,1847,100133,2080,1673,,,,,,,,,,,,,,,,,,,
1/27/24,SQSP,Squarespace Inc,1981,76596,1702,1613,,,,,,,,,,,,,,,,,,,
1/28/24,SQSP,Squarespace Inc,1153,101756,1966,1859,,,,,,,,,,,,,,,,,,,
1/29/24,SQSP,Squarespace Inc,2600,93521,1229,1089,,,,,,,,,,,,,,,,,,,
1/30/24,SQSP,Squarespace Inc,2238,96495,1272,1168,,,,,,,,,,,,,,,,,,,
1/31/24,SQSP,Squarespace Inc,505,86579,1322,1087,,,,,,,,,,,,,,,,,,,
2/1/24,SQSP,Squarespace Inc,2483,114403,2765,2269,,,,,,,,,,,,,,,,,,,
2/2/24,SQSP,Squarespace Inc,2497,83775,1679,1558,,,,,,,,,,,,,,,,,,,
2/3/24,SQSP,Squarespace Inc,1713,90628,1571,1486,,,,,,,,,,,,,,,,,,,
2/4/24,SQSP,Squarespace Inc,1043,97925,1676,1582,,,,,,,,,,,,,,,,,,,
2/5/24,SQSP,Squarespace Inc,1058,77186,1549,1344,,,,,,,,,,,,,,,,,,,
2/6/24,SQSP,Squarespace Inc,1183,81566,1592,1414,,,,,,,,,,,,,,,,,,,
2/7/24,SQSP,Squarespace Inc,877,89257,1804,1667,,,,,,,,,,,,,,,,,,,
2/8/24,SQSP,Squarespace Inc,6859,107415,1629,1473,,,,,,,,,,,,,,,,,,,
2/9/24,SQSP,Squarespace Inc,2030,78738,1694,1553,,,,,,,,,,,,,,,,,,,
