Date,DocuSign Inc,All,All % Change,Total Revenue By Quarter,Rev % Change
2024-04-30,19843.0,19843.0,5.028317366220294,709640000.0,-0.385465183201242
2024-01-31,18893.0,18893.0,2.684928528724387,712386000.0,1.708258318925332
2023-10-31,18399.0,18399.0,-1.777706598334401,700421000.0,1.8517145154699741
2023-07-31,18732.0,18732.0,1.8929503916449086,687687000.0,3.976334617501376
2023-04-30,18384.0,18384.0,8.607550067938796,661388000.0,0.2747219425812947
2023-01-31,16927.0,16927.0,17.777623156136933,659576000.0,2.1864924867885533
2022-10-31,14372.0,14372.0,,645463000.0,
